wbgene,gene_name,gene_id,concise_description,automated_description,gene_class_description,go_term,go_name,go_description,inside_CI,eqtl,vars,pc_vars,go_annotation
WBGene00003931,pat-4,C29F9.7,"The pat-4 gene encodes a serine/threonine kinase orthologous  to human integrin-linked kinase (ILK, OMIM:602366) and is required for formation  of integrin-mediated muscle cell attachments during embryogenesis; PAT-4 probably  functions as an adaptor molecule and localizes to dense bodies and M lines; PAT-4  forms a ternary complex with PAT-6/actopaxin and UNC-112, and requires UNC-112,  UNC-52/perlecan, PAT-2/alpha integrin, and PAT-3/beta integrin for proper localization  to newly forming integrin adhesion complexes. ","Is an ortholog of human ILK (integrin linked kinase). Exhibits  integrin binding activity and protein binding activity, bridging. Is involved in  several processes, including hermaphrodite genitalia morphogenesis; mitochondrion  organization; and positive regulation of cytoskeleton organization. Localizes to  several cellular components, including the basal plasma membrane; contractile fiber;  and integrin complex. Is expressed in body wall musculature; gonad; non-striated  muscle; pharynx; and touch receptor neurons. ",Paralysed Arrest at Two-fold ,GO:0001725|GO:0004672|GO:0004674|GO:0005178|GO:0005515|GO:0005623|GO:0005737|GO:0005886|GO:0005912|GO:0005925|GO:0006468|GO:0007005|GO:0007155|GO:0007160|GO:0007229|GO:0008305|GO:0009792|GO:0009925|GO:0016020|GO:0030239|GO:0030674|GO:0031430|GO:0032956|GO:0034446|GO:0040017|GO:0045987|GO:0046716|GO:0048815|GO:0055002|GO:0055120|GO:0060279|GO:0060298|GO:1903356|GO:1903829|GO:1904901|GO:1904951,"stress fiber|protein kinase activity|protein serine/threonine kinase activity|integrin binding|protein binding|cell|cytoplasm|plasma membrane|adherens junction|focal adhesion|protein phosphorylation|mitochondrion organization|cell adhesion|cell-matrix adhesion|integrin-mediated signaling pathway|integrin complex|embryo development ending in birth or egg hatching|basal plasma membrane|membrane|myofibril assembly|protein binding, bridging|M band|regulation of actin cytoskeleton organization|substrate adhesion-dependent cell spreading|positive regulation of locomotion|positive regulation of smooth muscle contraction|muscle cell cellular homeostasis|hermaphrodite genitalia morphogenesis|striated muscle cell development|striated muscle dense body|positive regulation of ovulation|positive regulation of sarcomere organization|positive regulation of distal tip cell migration|positive regulation of cellular protein localization|positive regulation of myosin II filament organization|positive regulation of establishment of protein localization","A contractile actin filament bundle that consists of short actin filaments with alternating polarity, cross-linked by alpha-actinin and possibly other actin bundling proteins, and with myosin present in a periodic distribution along the fiber.|Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.|Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.|Interacting selectively and non-covalently with an integrin.|Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).|The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.|All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.|The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.|A cell junction at which anchoring proteins (cadherins or integrins) extend through the plasma membrane and are attached to actin filaments.|Small region on the surface of a cell that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments.|The process of introducing a phosphate group on to a protein.|A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a mitochondrion; includes mitochondrial morphogenesis and distribution, and replication of the mitochondrial genome as well as synthesis of new mitochondrial components.|The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.|The binding of a cell to the extracellular matrix via adhesion molecules.|A series of molecular signals initiated by the binding of extracellular ligand to an integrin on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription.|A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands.|The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell.|The region of the plasma membrane located at the basal end of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis.|A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.|Formation of myofibrils, the repeating units of striated muscle.|The binding activity of a molecule that brings together two or more protein molecules, or a protein and another macromolecule or complex, through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way.|The midline of aligned thick filaments in a sarcomere; location of specific proteins that link thick filaments. Depending on muscle type the M band consists of different numbers of M lines.|Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.|The morphogenetic process that results in flattening of a cell as a consequence of its adhesion to a substrate.|Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism.|Any process that activates or increases the frequency, rate or extent of smooth muscle contraction.|The cellular homeostatic process that preserves a muscle cell in a stable functional or structural state.|The process in which the anatomical structures of hermaphrodite genitalia are generated and organized.|The process whose specific outcome is the progression of a striated muscle cell over time, from its formation to the mature structure. Striated muscle cells contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle.|A vinculin-containing myofibril attachment structure of striated muscle that connects sarcomeres to the extracellular matrix. In nematode body wall muscle, the dense body performs the dual role of Z-disk and costamere.|Any process that activates or increases the frequency, rate or extent of ovulation, the release of a mature ovum/oocyte from an ovary.|Any process that increases the rate, frequency or extent of myofibril assembly by organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs.|Any process that activates or increases the frequency, rate or extent of distal tip cell migration.|Any process that activates or increases the frequency, rate or extent of cellular protein localization. Cellular protein localization is any process in which a protein is transported to, and/or maintained in, a specific location and encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell.|Any process that activates or increases the frequency, rate or extent of myosin II filament organization.|Any process that activates or increases the frequency, rate or extent of establishment of protein localization.",TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00004045,pll-1,K10F12.3a,none available ,"Is an ortholog of human PLCL1 (phospholipase C like 1 (inactive))  and PLCL2 (phospholipase C like 2). Is predicted to have GABA receptor binding activity;  inositol 1,4,5 trisphosphate binding activity; and phosphatidylinositol phospholipase  C activity. Is expressed in AIYL and AIYR. ",PhosphoLipase C Like ,GO:0004435|GO:0005623|GO:0006629|GO:0007165|GO:0008081|GO:0016042|GO:0016787|GO:0032228|GO:0032959|GO:0035556|GO:0048015|GO:0050811|GO:0051209|GO:0070679,"phosphatidylinositol phospholipase C activity|cell|lipid metabolic process|signal transduction|phosphoric diester hydrolase activity|lipid catabolic process|hydrolase activity|regulation of synaptic transmission, GABAergic|inositol trisphosphate biosynthetic process|intracellular signal transduction|phosphatidylinositol-mediated signaling|GABA receptor binding|release of sequestered calcium ion into cytosol|inositol 1,4,5 trisphosphate binding","Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + H(2)O = 1,2-diacylglycerol + 1D-myo-inositol 1,4,5-trisphosphate + H(+).|The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.|The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.|The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.|Catalysis of the hydrolysis of a phosphodiester to give a phosphomonoester and a free hydroxyl group.|The chemical reactions and pathways resulting in the breakdown of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent.|Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.|Any process that modulates the frequency, rate or extent of GABAergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter gamma-aminobutyric acid (GABA).|The chemical reactions and pathways resulting in the formation of inositol trisphosphate, 1,2,3,4,5,6-cyclohexanehexol, with three phosphate groups attached.|The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell.|A series of molecular signals in which a cell uses a phosphatidylinositol-mediated signaling to convert a signal into a response. Phosphatidylinositols include phosphatidylinositol (PtdIns) and its phosphorylated derivatives.|Interacting selectively and non-covalently with the gamma-aminobutyric acid (GABA, 4-aminobutyrate) receptor.|The process in which calcium ions sequestered in the endoplasmic reticulum, Golgi apparatus or mitochondria are released into the cytosolic compartment.|Interacting selectively and non-covalently with inositol 1,4,5 trisphosphate.",TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00005014,spt-4,F54C4.2,none available ,"Is an ortholog of human SUPT4H1 (SPT4 homolog, DSIF elongation  factor subunit). Is predicted to have RNA polymerase II complex binding activity  and single-stranded RNA binding activity. ",SPT transcription factor family ,GO:0000993|GO:0003727|GO:0005634|GO:0006325|GO:0006355|GO:0008270|GO:0032044|GO:0032786|GO:0046872,"RNA polymerase II complex binding|single-stranded RNA binding|nucleus|chromatin organization|regulation of transcription, DNA-templated|zinc ion binding|DSIF complex|positive regulation of DNA-templated transcription, elongation|metal ion binding","Interacting selectively and non-covalently with RNA polymerase II core enzyme, a multisubunit eukaryotic nuclear RNA polymerase typically composed of twelve subunits.|Interacting selectively and non-covalently with single-stranded RNA.|A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.|Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin.|Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.|Interacting selectively and non-covalently with zinc (Zn) ions.|A heterodimeric protein complex formed of Spt4 and Spt5 proteins which is expressed in eukaryotes from yeast to man. DSIF is an inhibitory elongation factor that promotes RNA polymerase II transcriptional pausing, but can also stimulate transcriptional elongation under certain conditions, and may play a role in RNA processing via its physical association with mRNA capping enzymes.|Any process that activates or increases the frequency, rate or extent of transcription elongation, the extension of an RNA molecule after transcription initiation and promoter clearance by the addition of ribonucleotides catalyzed by a DNA-dependent RNA polymerase.|Interacting selectively and non-covalently with any metal ion.",TRUE,FALSE,TRUE,FALSE,TRUE
WBGene00006715,ubc-20,F40G9.3,none available ,Is an ortholog of human UBE2K (ubiquitin conjugating enzyme  E2 K). Is predicted to have ubiquitin conjugating enzyme activity. ,UBiquitin Conjugating enzyme ,GO:0000166|GO:0005524|GO:0005634|GO:0016567|GO:0016740|GO:0061631,nucleotide binding|ATP binding|nucleus|protein ubiquitination|transferase activity|ubiquitin conjugating enzyme activity,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.|Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.|A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.|The process in which one or more ubiquitin groups are added to a protein.|Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.|Isoenergetic transfer of ubiquitin from one protein to another via the reaction X-ubiquitin + Y -> Y-ubiquitin + X, where both the X-ubiquitin and Y-ubiquitin linkages are thioester bonds between the C-terminal glycine of ubiquitin and a sulfhydryl side group of a cysteine residue.",TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00006781,unc-45,F30H5.1,"unc-45 encodes a conserved, muscle-specific protein that contains  an N-terminal TRP (tetratricopeptide repeat) and a C-terminal UCS (UNC-45-CRO1-She4p)  domain; during body wall muscle development, UNC-45 activity is essential for proper  thick filament formation and sarcomere organization; in addition, maternally provided  UNC-45 is required for embryonic polarity, cytokinesis, and germline cellularization;  in regulating muscle development, UNC-45 acts, as both a chaperone and an HSP-90  cochaperone, to control type II myosin folding and assembly into thick filaments;  in regulating polarity, cytokinesis and germline cellularization, maternal UNC-45  is essential for normal functioning of the NMY-2 non-muscle myosin II; UNC-45 can  physically interact with myosin, Hsp90, and NMY-2; UNC-45 levels, and hence activity,  are controlled by a novel E3/E4-multiubiquitylation complex containing CDC-48, UFD-2,  and CHN-1; in muscle cells, UNC-45 colocalizes with myosin heavy chain B to thick  filaments; in the embryo, UNC-45 colocalizes with NMY-2 at the cell cortex and the  cleavage furrow; UNC-45 localization at the cell cortex and cleavage furrow is dependent  upon NMY-2. ","Is an ortholog of human UNC45A (unc-45 myosin chaperone A)  and UNC45B (unc-45 myosin chaperone B). Exhibits identical protein binding activity  and ubiquitin protein ligase binding activity. Is involved in several processes,  including locomotion; oviposition; and sarcomere organization. Localizes to the  cell cortex and cleavage furrow. Is expressed in body wall musculature and non-striated  muscle. Human ortholog(s) of this gene are implicated in cataract 43. ",UNCoordinated ,GO:0005515|GO:0005886|GO:0005938|GO:0009792|GO:0018991|GO:0031625|GO:0032154|GO:0040011|GO:0042802|GO:0045214|GO:0051879|GO:0061077,protein binding|plasma membrane|cell cortex|embryo development ending in birth or egg hatching|oviposition|ubiquitin protein ligase binding|cleavage furrow|locomotion|identical protein binding|sarcomere organization|Hsp90 protein binding|chaperone-mediated protein folding,"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).|The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.|The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins.|The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell.|The deposition of eggs (either fertilized or not) upon a surface or into a medium such as water.|Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins.|The cleavage furrow is a plasma membrane invagination at the cell division site. The cleavage furrow begins as a shallow groove and eventually deepens to divide the cytoplasm.|Self-propelled movement of a cell or organism from one location to another.|Interacting selectively and non-covalently with an identical protein or proteins.|The myofibril assembly process that results in the organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs.|Interacting selectively and non-covalently with Hsp90 proteins, any of a group of heat shock proteins around 90kDa in size.|The process of inhibiting aggregation and assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure that is dependent on interaction with a chaperone.",TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00006894,ver-1,T17A3.1,ver-1 encodes a receptor tyrosine kinase; VER-1 activity is  required for remodeling of glial cells during dauer larval development; ver-1 is  expressed in amphid and phasmid sheath glia upon dauer entry and when animals are  cultivated at high temperature; ver-1 expression is regulated by the TTX-1 homeodomain  and ZTF-16 C2H2 zinc finger transcription factors. ,Is an ortholog of human FLT1 (fms related tyrosine kinase  1). Is predicted to have transmembrane receptor protein tyrosine kinase activity.  Is involved in nematode male tail tip morphogenesis. Is expressed in intestinal  muscle; intestine; and neuronal sheath cell. ,VEGF (vascular endothelial growth factor) Receptor family ,GO:0000166|GO:0004672|GO:0004714|GO:0005524|GO:0005886|GO:0005887|GO:0006468|GO:0007169|GO:0016020|GO:0016021|GO:0018108|GO:0043235|GO:0045138,nucleotide binding|protein kinase activity|transmembrane receptor protein tyrosine kinase activity|ATP binding|plasma membrane|integral component of plasma membrane|protein phosphorylation|transmembrane receptor protein tyrosine kinase signaling pathway|membrane|integral component of membrane|peptidyl-tyrosine phosphorylation|receptor complex|nematode male tail tip morphogenesis,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.|Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.|Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate.|Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.|The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.|The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.|The process of introducing a phosphate group on to a protein.|A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription.|A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.|The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.|The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine.|Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.|The process in which the anatomical structure of the adult male tail tip is generated and organized. In some species of rhabitid nematodes, the male tail tip undergoes a morphological change such that the most posterior hypodermal cells in the tail (hyp8-11 in C. elegans) fuse and retract anteriorly, changing the shape of the tail from a pointed, tapered cone, or spike, to a rounded, blunt dome.",TRUE,FALSE,TRUE,TRUE,TRUE
WBGene00006895,ver-2,T17A3.8,none available ,Is expressed in ADLL and ADLR. ,VEGF (vascular endothelial growth factor) Receptor family ,"NA","NA","NA",TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00008352,fbxa-6,cTel54X.1,"This gene encodes a protein containing an F-box, a motif predicted  to mediate protein-protein interactions either with homologs of yeast Skp-1p or  with other proteins; this gene's encoded protein also contains an FTH/DUF38 motif,  which may also mediate protein-protein interaction. ","Is enriched in OLL; PVD; dopaminergic neurons; and intestine  based on tiling array and RNA-seq studies. Is affected by several genes including  daf-16; daf-2; and dpy-10 based on microarray; tiling array; and RNA-seq studies.  Is affected by eleven chemicals including levamisole; stavudine; and Rifampin based  on microarray and RNA-seq studies. Is predicted to encode a protein with the following  domains: F-box domain; Domain of unknown function DUF38, Caenorhabditis species;  and F-box A protein FB155/FB224. ",F-box A protein ,"NA","NA","NA",FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00015155,B0353.1,B0353.1a,none available ,Is enriched in OLL; PVD; and intestine based on microarray  studies. Is affected by several genes including daf-2; hsf-1; and clk-1 based on  microarray; RNA-seq; and tiling array studies. Is affected by fourteen chemicals  including Zidovudine; Psoralens; and allantoin based on RNA-seq and microarray studies. ,not known ,"NA","NA","NA",TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00016029,elf-1,C24A1.2a,none available ,"Is an ortholog of human ELF2 (E74 like ETS transcription  factor 2). Is predicted to have DNA-binding transcription factor activity, RNA polymerase  II-specific. Is involved in gonad development and regulation of cell division. Is  expressed in head neurons and pharynx. ",ETS-Like transcription Factor homolog ,GO:0000981|GO:0003677|GO:0003700|GO:0005634|GO:0006355|GO:0006357|GO:0008406|GO:0030154|GO:0043565|GO:0051302,"DNA-binding transcription factor activity, RNA polymerase II-specific|DNA binding|DNA-binding transcription factor activity|nucleus|regulation of transcription, DNA-templated|regulation of transcription by RNA polymerase II|gonad development|cell differentiation|sequence-specific DNA binding|regulation of cell division","A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.|Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).|A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.|A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.|Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.|Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II.|The process whose specific outcome is the progression of the gonad over time, from its formation to the mature structure. The gonad is an animal organ that produces gametes; in some species it also produces hormones.|The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state.|Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.|Any process that modulates the frequency, rate or extent of the physical partitioning and separation of a cell into daughter cells.",FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00016216,pals-22,C29F9.1,none available ,Is enriched in hypodermis; intestine; muscle cell; and neurons  based on tiling array; RNA-seq; and microarray studies. Is affected by several genes  including clk-1; sir-2.1; and pgl-1 based on microarray and RNA-seq studies. Is  affected by five chemicals including Rotenone; metformin; and Sirolimus based on  RNA-seq and microarray studies. ,Protein containing ALS2cr12 (ALS2CR12) signature ,"NA","NA","NA",TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00016217,C29F9.2,C29F9.2,none available ,Is enriched in ASER; intestine; and in male based on tiling  array; RNA-seq; and microarray studies. Is affected by several genes including daf-2;  elt-2; and eat-2 based on tiling array; microarray; and RNA-seq studies. Is affected  by twelve chemicals including hydrogen sulfide; methylmercury hydroxide; and procyanidin  based on microarray and RNA-seq studies. ,not known ,"NA","NA","NA",TRUE,TRUE,TRUE,TRUE,FALSE
WBGene00016218,pals-23,C29F9.3a,none available ,Is involved in innate immune response. ,Protein containing ALS2cr12 (ALS2CR12) signature ,GO:0045087,innate immune response,Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens.,TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00016219,pals-24,C29F9.4,none available ,Is enriched in GABAergic neurons; intestine; and neurons  based on tiling array and RNA-seq studies. Is affected by several genes including  daf-16; daf-2; and glp-1 based on RNA-seq and microarray studies. Is affected by  thirteen chemicals including 1-methylnicotinamide; manganese chloride; and Sodium  Chloride based on RNA-seq and microarray studies. ,Protein containing ALS2cr12 (ALS2CR12) signature ,"NA","NA","NA",TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00016220,C29F9.5,C29F9.5,none available ,Is predicted to have histone acetyltransferase activity;  transcription coregulator activity; and zinc ion binding activity. ,not known ,GO:0003712|GO:0004402|GO:0005634|GO:0006355|GO:0008270|GO:0016573|GO:0046872,"transcription coregulator activity|histone acetyltransferase activity|nucleus|regulation of transcription, DNA-templated|zinc ion binding|histone acetylation|metal ion binding","A protein or a member of a complex that interacts specifically and non-covalently with a DNA-bound DNA-binding transcription factor to either activate or repress the transcription of specific genes. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second ATP-dependent class modifies the conformation of chromatin. A third class modulates interactions of DNA-binding transcription factor with other transcription coregulators.|Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone.|A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.|Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.|Interacting selectively and non-covalently with zinc (Zn) ions.|The modification of a histone by the addition of an acetyl group.|Interacting selectively and non-covalently with any metal ion.",TRUE,FALSE,TRUE,TRUE,TRUE
WBGene00016221,C29F9.6,C29F9.6,none available ,Is predicted to have histone acetyltransferase activity;  transcription coregulator activity; and zinc ion binding activity. ,not known ,GO:0003712|GO:0004402|GO:0005634|GO:0006355|GO:0008270|GO:0016573|GO:0046872,"transcription coregulator activity|histone acetyltransferase activity|nucleus|regulation of transcription, DNA-templated|zinc ion binding|histone acetylation|metal ion binding","A protein or a member of a complex that interacts specifically and non-covalently with a DNA-bound DNA-binding transcription factor to either activate or repress the transcription of specific genes. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second ATP-dependent class modifies the conformation of chromatin. A third class modulates interactions of DNA-binding transcription factor with other transcription coregulators.|Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone.|A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.|Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.|Interacting selectively and non-covalently with zinc (Zn) ions.|The modification of a histone by the addition of an acetyl group.|Interacting selectively and non-covalently with any metal ion.",TRUE,FALSE,TRUE,TRUE,TRUE
WBGene00016222,C29F9.8,C29F9.8,none available ,Is predicted to have G protein-coupled peptide receptor activity. ,not known ,GO:0007186|GO:0008528|GO:0016020|GO:0016021,G protein-coupled receptor signaling pathway|G protein-coupled peptide receptor activity|membrane|integral component of membrane,"A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576).|Combining with a peptide and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.|A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.|The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.",TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00016223,C29F9.9,C29F9.9,none available ,Is affected by several genes including daf-12; lin-15B; and  mut-2 based on microarray and tiling array studies. Is affected by adsorbable organic  bromine compound based on microarray studies. ,not known ,"NA","NA","NA",TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00016224,fbxa-57,C29F9.10,none available ,Is affected by several genes including daf-16; daf-2; and  hsf-1 based on microarray; tiling array; and RNA-seq studies. Is affected by seven  chemicals including tryptophan; Psoralens; and allantoin based on microarray and  RNA-seq studies. ,F-box A protein ,"NA","NA","NA",TRUE,TRUE,TRUE,FALSE,FALSE
